X  |Y   |Physical Condition(0-100)|Panic Level(0-100)|Levelheadedness(1-3)|Knowledge(true/false)  
1  |1   | 35                      | 75               | 1                  | false
18 |6   | 40                      | 75               | 1                  | false
28 |28  | 50                      | 75               | 1                  | true
15 |13  | 60                      | 75               | 1                  | false
27 |2   | 70                      | 75               | 1                  | true
20 |28  | 80                      | 70               | 1                  | false
9  |12  | 90                      | 75               | 1                  | false
9  |20  | 35                      | 75               | 1                  | true
22 |1   | 33                      | 75               | 1                  | true
26 |15  | 75                      | 75               | 1                  | false
18 |1   | 75                      | 75               | 1                  | true
